dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
adult,rf,1,dirichlet_strong,0.9050549450549451,0.08598323542026406,0.0004411603643129685,0.00046185659395814056,5000,30
adult,rf,1,b1_uniform,0.8990476190476192,0.04718517473055284,0.0003459126403466856,9.662724465281014e-05,5000,30
adult,rf,1,b2_stratified,0.9648351648351648,0.02537803381053298,3.1987727077774944e-05,1.5313968693694473e-05,5000,30
adult,rf,2,abc_corrected,0.8905494505494507,0.06284689585781536,0.0032656751486941317,0.002367827766178267,5000,30
adult,rf,2,dirichlet_strong,0.8937728937728939,0.0725570665193304,0.0033229989472250087,0.003150462549118199,5000,30
adult,rf,2,b1_uniform,0.8810256410256412,0.03765767301336682,0.0025199159279483143,0.0008763250588709931,5000,30
adult,rf,2,b2_stratified,0.9828571428571429,0.011481982826939205,0.00021954347268901772,0.0001073621146106424,5000,30
adult,rf,3,abc_corrected,0.8990476190476192,0.06742617714116514,0.0007232121735358139,0.000612273968376868,5000,30
adult,rf,3,dirichlet_strong,0.8984615384615385,0.08498686355321704,0.000554406340612436,0.0005678740753907919,5000,30
adult,rf,3,b1_uniform,0.9387545787545787,0.021769955283643366,0.00037474185665763914,0.00015629002347080837,5000,30
adult,rf,3,b2_stratified,0.9853479853479854,0.008593628306880659,3.841376143172486e-05,2.3481636080894734e-05,5000,30
adult,rf,4,abc_corrected,0.7384615384615386,0.1519368705195489,0.008677929930050588,0.006772016860634959,5000,30
adult,rf,4,dirichlet_strong,0.6668131868131867,0.1754956637980404,0.00971689319959257,0.0071236714498469885,5000,30
adult,rf,4,b1_uniform,0.5998534798534799,0.13418949849270098,0.009422154401623877,0.0026204565162908124,5000,30
adult,rf,4,b2_stratified,0.9572161172161173,0.02064634719860343,0.000952112007186331,0.0008279083463723989,5000,30
adult,rf,5,abc_corrected,0.9299633699633699,0.04058793188144948,0.0025456202543029066,0.002293511460802183,5000,30
adult,rf,5,dirichlet_strong,0.9607326007326009,0.029287907653238233,0.0014691040321630554,0.0016630854934288582,5000,30
adult,rf,5,b1_uniform,0.9359706959706959,0.029610485480775633,0.000994338719295378,0.0003427595984044267,5000,30
adult,rf,5,b2_stratified,0.9832967032967034,0.01718975457999993,0.0001247847020230091,8.451817136676275e-05,5000,30
adult,rf,6,abc_corrected,0.9010989010989012,0.077606591715705,0.0006156025768111216,0.0006377154911083584,5000,30
adult,rf,6,dirichlet_strong,0.9085714285714287,0.04444272695899277,0.0007321362500807918,0.0007521000194781651,5000,30
adult,rf,6,b1_uniform,0.9003663003663005,0.045811861675282756,0.0005532864486138891,0.00019318438314841664,5000,30
adult,rf,6,b2_stratified,0.9875457875457876,0.010407056912574205,4.7069620060664685e-05,2.3775951162168198e-05,5000,30
adult,rf,7,abc_corrected,0.9299633699633699,0.04817728579015025,0.0006330858955168612,0.0004930172321226329,5000,30
adult,rf,7,dirichlet_strong,0.9536996336996338,0.027279517357332212,0.000560225104411318,0.0005747837390360043,5000,30
adult,rf,7,b1_uniform,0.9342124542124542,0.02262728417015763,0.0002575150590588964,0.00010496381615155769,5000,30
adult,rf,7,b2_stratified,0.9906227106227107,0.00733186578941936,4.0869973329309855e-05,3.56040287476755e-05,5000,30
adult,rf,8,abc_corrected,0.8420512820512821,0.13377345545902325,0.0038797029203440636,0.003957052242927198,5000,30
adult,rf,8,dirichlet_strong,0.8360439560439562,0.13587632508836328,0.005414879970398689,0.004626255127722637,5000,30
adult,rf,8,b1_uniform,0.8606593406593407,0.04411911144671483,0.003282123623700613,0.0013540523589322324,5000,30
